Longitude	Latitude	Name
-71.3506	42.469	Old North Bridge
-71.2309	42.4493	Lexington Battle Green
-70.6134	42.6598	Rockport Harbor
-70.837	42.5084	Marblehead Harbor
-71.0084	42.469	Saugus Iron Works
-70.605	42.6751	Sandy Bay
-70.655	42.6112	Inner Harbor
-70.5787	42.6376	Thatcher Island    Twin Light
-70.5953	42.6529	Whale Cove
-71.07286	42.36152	Community Boating    Sailing
-72.616	42.0385	Six Flags
-71.0462	42.3326	Soldiers' Monument  Boston Nat'l. Hist.
-71.8912	42.4918	Wachusett Mountain State Reservation
-70.6231	42.6765	Pigeon Cove
-70.8284	41.3365	Gay Head Beach
-71.95464	41.37317	Mystic Aquarium
-71.9637	41.36213	Mystic Seaport
-72.0892	41.3898	Submarine Museum    USN
-71.31316	41.49054	Touro Synagogue
-71.30049	41.47098	The Breakers      Vanderbilt
-71.30741	41.46364	The Astors
-71.40743	41.82681	Museum of Art    RISD
-71.407	41.7826	Roger Williams Park Zoo
-71.4076	41.8237	Waterfire
-80.84032	35.22907	Discovery Place (science museum)
-80.94965	35.10071	Paramount Carowinds Theme & Water Park
-81.0501	35.16547	Daniel Stowe Botanical Garden
-80.85251	35.23662	Ray's Splash Planet
-80.84226	35.18828	Nature Museum
-80.68682	35.35435	Lowe's Motor Speedway
-80.70512	35.35448	Hendrick Motorsports Museum
-80.84172	35.22815	Mint Museum of Craft & Design
-80.81345	35.20033	Mint Museum of Art
-80.7666	35.23452	Charlotte Museum of History & Hezekiah A
-80.83949	35.22802	Levine Museum of the New South
-80.84061	35.22509	Verizon Wireless Amphitheater
-80.86655	35.21116	Tremont Music Hall
-80.99748	35.27356	U.S. Nat'. Whitewater Rafting
41.899337	-87.624283	900 North Michigan Shops
41.7215	-87.6219	Abbott Park
41.862629	-87.618665	Adler Planetarium
41.879137	-88.281124	Kane County Cougars
41.896563	-87.625132	American Girl Place
41.900814	-87.632539	Annunciation Greek Orthodox Cathedral (The)
41.890601	-87.636477	Assumption Church
41.884637	-87.631083	Atrium Mall
41.829937	-87.832283	Brookfield Zoo
41.87575	-87.6206	Buckingham Fountain
41.803377	-87.932192	Burhop's Seafood
41.911568	-87.626695	Chicago Air & Water Show
41.898537	-87.623915	Chicago Architecture Foundation
41.8461	-87.6299	Chicago Auto Show
42.254363	-87.896214	Chicago Bears
41.881163	-87.674358	Chicago Blackhawks
41.8777	-87.6259	Chicago Blues Festival
42.152263	-87.785008	Chicago Botanic Garden
41.881163	-87.674358	Chicago Bulls
41.8921	-87.609203	Chicago Children's Museum
41.947329	-87.656708	Chicago Cubs
41.883337	-87.625061	Chicago Cultural Center
41.911403	-87.631522	Chicago History Museum
41.879254	-87.624583	Chicago Symphony Orchestra
41.820163	-87.64149	Chicago Trolley Co.
41.85895	-87.62061	Chicago Trolley Tours
41.830763	-87.635015	Chicago White Sox
41.971	-87.7012	Chicago Wolves
41.853036	-87.63545	Chinatown
41.886027	-87.620883	Cloud Gate
41.778746	-88.147783	Du Page Children's Museum
41.791552	-87.606883	DuSable Museum of African American History
41.481363	-88.148882	Empress Casino Joliet
41.892363	-87.626361	ESPN Zone
41.861858	-87.618476	Field Museum
41.876562	-87.62452	Fine Arts Building
41.736558	-88.258001	Fox Valley Shopping Center
41.89624	-87.651959	Frank Lloyd Wright Home and Studio
42.0503	-87.83982	Golf Mill Shopping Center
41.954703	-87.662222	Graceland Cemetery
41.88735	-87.6245	Grant Park
41.878	-87.6473	Greektown
42.383596	-87.955671	Gurnee Mills Mall
41.8938	-87.6203	Hancock Observatory
41.893122	-87.630296	Hard Rock Cafe
41.876755	-87.627872	Harold Washington Library
42.245313	-87.949816	Hawthorn Center
41.89593	-87.628015	Holy Name Cathedral
41.872036	-87.647289	Hull House
41.867148	-87.619422	John G. Shedd Aquarium
41.902935	-87.633083	La Salle Street Church
42.280137	-87.907176	Lambs Farm
41.925684	-87.636235	Lincoln Park Conservatory
