Latitude	Longitude	Name
45.453945	-73.466342	Best Western Plus Brossard
46.814957	-71.225494	Best Western Plus City Centre/Centre-Ville
46.757589	-71.293186	Best Western Hotel PREMIER L'Aristocrate
45.89988	-72.52259	Best Western Plus Hotel Universel Drummondville
47.828853	-69.553247	Best Western Plus Hotel Levesque
47.377799	-68.312703	Best Western Plus Edmundston Hotel
46.1012317	-64.7644339	Best Western Plus Moncton
47.04522	-67.76753	Best Western Plus Grand-Sault Hotel & Suites
46.171895	-67.606739	Best Western Plus Woodstock Hotel & Conference Centre
45.944712	-66.680376	Best Western Plus Fredericton Hotel & Suites
45.309455	-66.021664	Best Western Plus Saint John Hotel & Suites
46.101367	-64.764269	Best Western Plus Moncton
46.237854	-63.123123	Best Western Charlottetown
44.99233	-64.9386	Best Western Aurora Inn
43.84596	-66.116082	Best Western Mermaid
45.360225	-63.290124	Best Western Plus Glengarry Hotel
44.400359	-64.539347	Best Western Plus Bridgewater Hotel & Convention Centre
44.050522	-64.722197	Best Western Plus Liverpool Hotel & Conference Centre
44.700736	-63.582339	Best Western Plus Dartmouth Hotel & Suites
44.640145	-63.624535	Best Western Plus Chocolate Lake Hotel
60.71835	-135.057803	Best Western Gold Rush Inn
61.18759918	-149.8630981	BEST WESTERN Golden Lion Hotel
64.83756256	-147.8234253	BEST WESTERN PLUS Chena River Lodge
64.84593876	-147.7731775	BEST WESTERN PLUS Pioneer Park Inn
59.64264679	-151.5560608	BEST WESTERN Bidarka Inn
58.36420059	-134.5870056	BEST WESTERN Country Lane Inn
58.3670311	-134.5884399	BEST WESTERN Grandma's Feather Bed
55.3553009	-131.6910095	BEST WESTERN PLUS Landing Hotel
57.78870392	-152.4120789	BEST WESTERN Kodiak Inn and Convention Center
60.10108083	-149.4387777	BEST WESTERN PLUS Edgewater Hotel
60.49551778	-151.0700342	BEST WESTERN King Salmon Motel
61.12692654	-146.3518086	BEST WESTERN Valdez Harbor Inn
61.57726669	-149.4835663	BEST WESTERN Lake Lucille Inn
31.30965985	-86.49941213	BEST WESTERN Andalusia Inn
34.78369519	-86.94207251	BEST WESTERN Athens Inn
33.36520767	-87.00484467	BEST WESTERN PLUS Bessemer Hotel & Suites
33.45101166	-86.82336426	BEST WESTERN PLUS Carlton Suites
32.80101165	-86.57394938	BEST WESTERN Inn
34.20406848	-86.87576495	BEST WESTERN Fairwinds Inn
30.66660628	-87.85328194	BEST WESTERN PLUS Daphne Inn & Suites
34.58775043	-87.02790253	BEST WESTERN River City Hotel
32.49877699	-87.84593403	BEST WESTERN PLUS Two Rivers Hotel & Suites
31.25296211	-85.43037415	BEST WESTERN Dothan Inn & Suites
31.32491291	-85.83232731	BEST WESTERN PLUS Circle Inn
33.99895859	-86.09282684	BEST WESTERN PLUS Gadsden Hotel & Suites
33.6458168	-86.83005524	BEST WESTERN PLUS Gardendale
31.8528568	-86.64232694	BEST WESTERN Inn
30.24844551	-87.68373871	BEST WESTERN on the Beach
31.54318236	-87.88237385	BEST WESTERN Suites
33.56787533	-86.51719183	BEST WESTERN PLUS Bass Hotel & Suites
34.67420197	-86.75550842	BEST WESTERN PLUS Madison-Huntsville Hotel
31.47043616	-87.34375544	BEST WESTERN Inn
33.23906708	-87.57875061	BEST WESTERN Catalina Inn
32.68332291	-85.40183258	BEST WESTERN Auburn/Opelika Inn
31.25000685	-86.25699811	BEST WESTERN PLUS Opp Inn
30.270115	-87.580476	BEST WESTERN Premier The Tides
33.33223388	-86.78016163	BEST WESTERN PLUS Oak Mountain Inn
34.4950895	-87.72470959	BEST WESTERN PLUS Russellville Hotel & Suites
30.80475882	-88.10056418	BEST WESTERN Motorsports Inn & Suites
31.79867752	-85.98335713	BEST WESTERN Troy Inn
33.17323685	-87.52176666	BEST WESTERN Park Plaza Motor Inn
34.18154329	-93.07062306	BEST WESTERN Continental Inn
34.57682037	-92.58662415	BEST WESTERN Benton Inn
36.33615494	-94.20454407	BEST WESTERN PLUS Castlerock Inn & Suites
35.55859756	-93.4356842	BEST WESTERN Sherwood Inn
35.60121918	-92.5868454	BEST WESTERN Hillside Inn
35.09204483	-92.4196167	BEST WESTERN Conway
36.39366165	-93.7419907	BEST WESTERN Eureka Inn
36.39775738	-93.74647468	BEST WESTERN Inn of the Ozarks
36.05073166	-94.18989563	BEST WESTERN Windsor Suites
35.3548127	-94.3586737	BEST WESTERN Aspen Hotel
36.30726703	-91.50435716	BEST WESTERN Village Inn
33.68360594	-93.61238837	BEST WESTERN of Hope
34.48524857	-93.06038666	BEST WESTERN Winners Circle Inn
34.88088608	-92.11405945	BEST WESTERN Jacksonville Inn
35.808275	-90.674494	BEST WESTERN PLUS Jonesboro Inn & Suites
34.67834473	-92.33789317	BEST WESTERN Little Rock South
34.80628073	-91.88811623	BEST WESTERN PLUS Lonoke Hotel
33.62030379	-91.38198607	BEST WESTERN McGehee
34.77830124	-92.26618195	BEST WESTERN PLUS JFK Inn & Suites
34.82554626	-92.1940155	BEST WESTERN PLUS Sherwood Inn & Suites
34.21224976	-91.96621704	BEST WESTERN PLUS Presidential Hotel & Suites
35.30285552	-93.13756697	BEST WESTERN Inn
35.25053702	-91.6931659	BEST WESTERN PLUS Searcy Inn
33.47395375	-94.0342918	BEST WESTERN PLUS Texarkana Inn & Suites
35.46440506	-94.35486603	BEST WESTERN Van Buren Inn
34.55449976	-90.66414379	BEST WESTERN Inn
33.4150511	-111.5575945	BEST WESTERN Apache Junction Inn
31.97684097	-110.3085098	BEST WESTERN Quail Hollow Inn
33.3197403	-111.8424072	BEST WESTERN Inn of Chandler
33.2809049	-111.9587807	BEST WESTERN Plus Chandler Hotel & Suites
36.16001375	-109.5789631	BEST WESTERN Canyon De Chelly Inn
34.72286987	-112.0026855	BEST WESTERN Cottonwood Inn
31.34130053	-109.5583402	BEST WESTERN Douglas Inn & Suites
34.11325157	-109.2915463	BEST WESTERN Sunrise Inn
33.60189056	-114.520668	BEST WESTERN Desert Oasis
35.21177292	-111.6043243	BEST WESTERN Pony Soldier Inn & Suites
32.94811875	-112.7123706	BEST WESTERN Space Age Lodge
33.3964008	-110.7689878	BEST WESTERN Copper Hills Inn
33.35149002	-111.4564896	BEST WESTERN Gold Canyon Inn & Suites
33.44671631	-112.3574677	BEST WESTERN PLUS Phoenix Goodyear Inn
35.96940592	-112.1282988	BEST WESTERN PREMIER Grand Canyon Squire Inn
31.86878204	-110.9948044	BEST WESTERN Green Valley Inn
34.33051854	-110.7824468	BEST WESTERN Sawmill Inn
34.93257523	-110.1360168	BEST WESTERN Arizonian Inn
35.21154404	-114.0170593	BEST WESTERN PLUS A Wayfarer's Inn and Suites
35.21218872	-114.0139923	BEST WESTERN PLUS King's Inn & Suites
33.33445676	-111.6871331	BEST WESTERN Legacy Inn & Suites
33.3876334	-111.7872557	BEST WESTERN PLUS Mesa
33.39094162	-111.6860046	BEST WESTERN Superstition Springs Inn
31.36530496	-110.9474462	BEST WESTERN Sonora Inn & Suites
36.92006931	-111.4628461	BEST WESTERN PLUS at Lake Powell
36.92076601	-111.4632417	BEST WESTERN View of Lake Powell Hotel
34.15127791	-114.286378	BEST WESTERN Parker Inn
33.42522812	-112.0292816	BEST WESTERN Airport Inn
33.55405426	-112.0473785	BEST WESTERN PLUS InnSuites Phoenix Hotel & Suites
34.13591385	-109.9496231	BEST WESTERN Inn of Pinetop
34.54528427	-112.4506302	BEST WESTERN Prescottonian
32.83491276	-109.7240444	BEST WESTERN Desert Inn
33.6218569	-111.918107	BEST WESTERN PLUS Scottsdale Thunderbird Suites
33.50251007	-111.9226685	BEST WESTERN PLUS Sundial
34.87203217	-111.7579041	BEST WESTERN PLUS Arroyo Roble Hotel & Creekside Villas
34.86248307	-111.7818647	BEST WESTERN PLUS Inn of Sedona
34.24732447	-110.0483121	BEST WESTERN Paint Pony Lodge
33.43528366	-111.9275894	BEST WESTERN Inn of Tempe
33.37683164	-111.9631646	BEST WESTERN PLUS Tempe by the Mall
33.46461868	-112.2413788	BEST WESTERN Tolleson-Phoenix Hotel
32.33760707	-111.0696738	BEST WESTERN PLUS Gold Poppy Inn
32.31984329	-110.9763565	BEST WESTERN PLUS InnSuites Tucson Foothills Hotel & Suites
32.23491287	-110.9722214	BEST WESTERN PLUS Royal Sun Inn & Suites
32.12817383	-110.9335098	BEST WESTERN PLUS Tucson Int'l Airport Hotel & Suites
33.96883774	-112.7278671	BEST WESTERN Rancho Grande
35.24397278	-112.2104492	BEST WESTERN PLUS Inn of Williams
35.02001572	-110.672348	BEST WESTERN PLUS Winslow Inn
33.60537338	-112.3011551	BEST WESTERN Inn & Suites of Sun City
32.70155869	-114.6074103	BEST WESTERN PLUS InnSuites Yuma Mall Hotel & Suites
41.48702621	-120.5430145	BEST WESTERN Trailside Inn
33.81771469	-117.923645	BEST WESTERN Courtesy Inn
33.80826569	-117.9141159	BEST WESTERN PLUS Anaheim Inn
33.80976364	-117.91526	BEST WESTERN PLUS Park Place Inn - Mini Suites
33.8024025	-117.927681	BEST WESTERN PLUS Pavilions
33.79756546	-117.9145126	BEST WESTERN PLUS Raffles Inn & Suites
33.80223846	-117.9246521	BEST WESTERN PLUS Stovall's Inn
40.45186615	-122.2893906	BEST WESTERN PLUS Anderson Inn
38.07792261	-120.5515067	BEST WESTERN PLUS Cedar Inn & Suites
36.9794426	-121.9108505	BEST WESTERN PLUS Seacliff Inn
40.9021955	-124.0834884	BEST WESTERN Arcata Inn
35.13207626	-120.605217	BEST WESTERN Casa Grande Inn
35.5011673	-120.6869965	BEST WESTERN PLUS Colony Inn
38.9259758	-121.0554123	BEST WESTERN Golden Key
35.35323334	-119.3324051	BEST WESTERN Heritage Inn
35.37339158	-119.0084781	BEST WESTERN PLUS Hill House
